OTUId	2_12	2_9	2_3	2_6	1_12	Ferrihydrite	Heavy	Kaolinite	1_6	1_9	Quartz	1_3
65_669	1	0	0	0	1	0	0	0	0	0	0	0
41_506	1	0	0	0	0	0	0	0	0	0	0	0
56_65	1	0	0	0	0	0	0	0	0	0	0	0
21_143124	1	0	0	0	0	0	0	0	0	0	0	0
7_262	1	0	0	0	0	0	0	0	0	0	0	0
67.2_1156	2	1	0	0	0	0	0	0	0	0	0	1
100_89871	2	0	0	0	0	0	0	0	0	0	0	0
69.2_296	1	0	0	0	0	0	0	0	0	0	0	0
7_421	4	0	0	0	1	0	0	0	0	0	0	0
13_245438	1	0	0	0	0	0	0	0	0	0	0	0
59_35480	1	0	0	0	1	0	0	0	0	0	0	0
64_75	1	0	0	0	0	0	0	0	0	0	0	0
80_83	1	0	0	0	1	0	0	0	0	1	0	0
44_107	1	0	0	0	1	0	0	0	0	0	0	0
103_43	5	1	0	0	0	0	0	0	0	0	0	0
79_292	2	0	0	1	0	0	0	0	0	0	0	0
74.2_184697	1	0	0	0	0	0	0	0	0	0	0	0
62_48	5	0	0	0	0	0	0	0	0	1	0	0
71.2_700201	1	0	0	0	0	0	0	0	0	0	0	0
70_162	1	0	0	0	0	0	0	0	0	0	0	0
96_1038	1	0	0	0	0	0	0	0	0	0	0	0
49_2408	1	0	0	0	0	0	0	0	0	0	0	0
28_252	1	0	0	0	0	0	0	0	0	0	0	0
13_61	1	0	0	0	0	0	0	0	0	0	0	0
19_66	1	0	0	0	0	0	0	0	0	0	0	0
74.2_42	0	2	0	1	1	0	0	0	1	0	0	0
44_4257	1	0	0	0	0	0	0	0	0	0	0	0
15_14269	1	0	0	0	0	0	0	0	0	0	0	0
89_38255	1	1	0	0	0	0	0	0	0	0	0	0
62_409	2	0	0	0	0	0	0	0	0	0	0	0
58_167	1	0	0	0	0	0	0	0	0	0	0	0
52_609	6	0	0	0	0	0	0	0	0	0	0	0
91_150445	1	0	0	0	0	0	0	0	0	0	0	0
28_125	1	0	0	0	0	0	0	0	0	0	0	0
56_9	1	0	0	0	0	0	0	0	0	0	0	0
59_138	1	0	0	0	0	0	0	0	0	0	0	0
28_317	1	1	0	0	0	0	0	0	0	0	0	0
69.2_6056	1	0	0	0	0	0	0	0	0	1	0	0
74.2_3548	0	1	0	0	0	0	0	0	0	0	0	0
13_1198	1	0	0	0	0	0	0	0	0	0	0	0
55_65686	0	1	0	0	0	0	0	0	0	0	0	0
69_735	1	0	0	0	0	0	0	0	0	0	0	0
53_7	2	0	0	0	0	0	0	0	0	0	0	0
49_6248	1	0	0	0	0	0	0	0	0	0	0	0
96_2555	2	0	0	0	0	0	0	0	0	0	0	0
1_601	1	0	0	0	0	0	0	0	0	0	0	0
61_13110	1	0	0	0	0	0	0	0	0	0	0	0
38_1576	0	0	1	0	0	0	0	0	0	0	0	0
19_3304	1	0	0	0	0	0	0	0	0	0	0	0
7_305	1	0	0	0	0	0	0	0	0	0	0	0
27_261279	1	0	0	0	0	0	0	0	0	0	0	0
58_23131	1	0	0	0	0	0	0	0	0	0	0	0
65_2101	1	0	0	0	0	0	0	0	0	0	0	0
55_63322	1	0	0	0	0	0	0	0	0	0	0	0
83_765	0	0	0	1	0	0	0	0	0	0	0	0
99_24641	2	0	0	0	0	0	0	0	0	0	0	0
26_6438	0	0	0	0	0	1	0	0	0	0	0	0
74.2_5187	2	0	0	0	0	0	0	0	0	0	0	0
73.2_771	2	0	0	0	0	0	0	0	0	0	0	0
69_2370	0	0	0	0	1	0	0	0	0	0	0	0
40_14026	0	0	0	0	0	1	0	0	0	0	0	0
71_27748	0	1	0	0	0	0	0	0	0	0	0	0
70.2_1283	0	0	0	0	0	1	0	0	0	0	0	0
49_45473	2	0	0	1	0	0	0	0	0	0	0	0
23_1798	1	0	0	0	0	0	0	0	0	0	0	0
52_726	0	0	0	0	0	1	0	0	0	0	0	0
23_474	0	0	0	0	0	1	0	0	0	0	0	0
61_1062	0	0	0	0	0	1	0	0	0	0	0	0
4_39	0	0	0	0	0	1	0	0	0	0	0	0
10_132791	0	0	0	0	0	1	0	0	0	0	0	0
7_1381	0	0	0	0	1	0	0	0	0	0	0	0
71_16493	0	0	0	0	0	0	1	0	0	0	0	0
64_15135	0	0	0	0	0	1	0	0	0	0	0	0
70.2_9706	1	0	0	0	0	0	0	0	0	0	0	0
7_4011	0	0	0	0	0	1	0	0	0	0	0	0
59_10123	0	0	0	0	1	0	0	0	0	0	0	0
77.2_46	0	0	0	0	0	1	0	0	0	0	0	0
67_141	0	0	0	0	1	0	0	0	0	0	0	0
17_166853	1	0	0	0	0	0	0	0	0	0	0	0
75.2_7285	0	0	0	1	0	0	0	0	0	0	0	0
53_168466	1	0	0	0	0	0	0	0	0	0	0	0
68_1350716	0	0	0	0	0	1	0	0	0	0	0	0
69.2_2943	0	0	0	0	0	1	0	0	0	0	0	0
72.2_158802	0	0	0	0	1	0	0	0	0	0	0	0
76_1221	0	0	0	0	0	1	0	0	0	0	0	0
26_909	0	0	0	0	1	0	0	0	0	0	0	0
28_97969	0	0	0	0	0	1	0	0	0	0	0	0
75_3102	0	0	0	0	0	1	0	0	0	0	0	0
28_16045	0	0	0	0	0	1	0	0	0	0	0	0
69_37621	1	0	0	0	0	0	0	0	0	0	0	0
67.2_4675	0	0	0	0	0	1	0	0	0	0	0	0
44_4657	0	0	0	0	1	0	0	0	0	0	0	0
69.2_63145	0	0	0	0	0	1	0	0	0	0	0	0
8_5823	0	0	0	0	0	1	0	0	0	0	0	0
72.2_12524	0	0	0	0	0	1	0	0	0	0	0	0
73_154898	0	0	0	0	0	1	0	0	0	0	0	0
55_1822	1	0	0	0	0	0	0	0	0	0	0	0
7_22632	0	0	0	0	0	1	0	0	0	0	0	0
1_4779	0	0	0	0	0	1	0	0	0	0	0	0
69.2_56617	0	0	0	0	0	0	1	0	0	0	0	0
67_8328	0	0	0	0	1	0	0	0	1	0	0	0
68.2_731643	1	0	0	0	0	0	0	0	0	0	0	0
61_124287	0	0	0	0	0	1	0	0	0	0	0	0
26_127	0	0	0	0	0	1	0	0	0	0	0	0
65_9327	0	0	0	1	0	0	0	0	0	0	0	0
67_7750	0	0	0	0	0	0	0	1	0	0	0	0
69.2_10371	0	0	0	0	0	0	0	1	0	0	0	0
50_9274	0	0	0	0	0	1	0	0	0	0	0	0
7_147561	0	0	0	0	0	0	1	0	0	0	0	0
21_122181	0	0	0	0	0	0	1	0	0	0	0	0
3_4113	0	0	0	0	0	0	0	1	0	0	0	0
71_7344	0	0	0	0	0	0	1	0	0	0	0	0
3_102144	0	0	0	0	0	1	0	0	0	0	0	0
10_77834	0	0	0	0	0	0	0	1	0	0	0	0
3_129868	0	0	0	0	0	0	0	1	0	0	0	0
52_270336	0	0	0	0	0	0	0	1	0	0	0	0
70_13351	0	0	0	0	0	1	0	0	0	0	0	0
1_4949	0	0	0	0	0	1	0	0	0	0	0	0
37_22491	0	0	0	0	0	0	0	1	0	0	0	0
1_55756	0	0	0	0	0	1	0	0	0	0	0	0
3_25567	0	0	0	0	0	0	0	1	0	0	0	0
76_5295	0	0	0	0	0	0	0	1	0	0	0	0
69_7226	0	0	0	0	0	1	0	0	0	0	0	0
67.2_18810	0	0	0	0	0	1	0	0	0	0	0	0
89_15230	0	0	0	0	0	1	0	0	0	0	0	0
21_14602	0	0	0	0	0	1	0	0	0	0	0	0
71_268655	0	0	0	0	0	0	0	1	0	0	0	0
58_48737	0	0	0	0	0	1	0	0	0	0	0	0
39_28098	0	0	0	0	0	1	0	0	0	0	0	0
67.2_46335	0	0	0	0	0	1	0	0	0	0	0	0
71.2_39510	0	0	0	0	0	0	0	1	0	0	0	0
73_27762	0	0	0	0	0	0	1	0	0	0	0	0
59_75785	0	0	0	0	0	1	0	0	0	0	0	0
65_726035	0	0	0	0	0	1	0	0	0	0	0	0
71_27539	0	0	0	0	0	0	0	1	0	0	0	0
75_27203	0	0	0	0	0	0	0	1	0	0	0	0
77.2_497030	0	0	0	0	0	0	1	0	0	0	0	0
10_482523	0	0	0	0	0	0	0	1	0	0	0	0
37_216752	0	0	0	0	0	0	0	1	0	0	0	0
93_701	0	0	0	0	0	1	0	0	0	0	0	0
70_49	0	0	0	0	0	1	0	0	0	0	0	0
76_3208	0	0	0	0	0	0	0	1	0	0	0	0
65_6240	0	0	0	0	0	1	0	0	0	0	0	0
61_1176	0	0	0	0	0	1	0	0	0	0	0	0
69_12283	0	0	0	0	0	0	0	1	0	0	0	0
71.2_14376	0	0	0	0	0	0	1	0	0	0	0	0
24_4012	0	0	0	0	0	1	0	0	0	0	0	0
49_13776	0	0	0	0	0	1	0	0	0	0	0	0
72.2_6370	0	0	0	0	0	1	0	0	0	0	0	0
7_8368	0	0	0	0	0	1	0	0	0	0	0	0
73.2_356804	0	0	0	0	0	0	0	1	0	0	0	0
23_1680	0	0	0	0	0	1	0	0	0	0	0	0
62_9944	0	0	0	0	0	1	0	0	0	0	0	0
73_11298	0	0	0	0	0	0	0	1	0	0	0	0
72_3573	0	0	0	0	0	1	0	0	0	0	0	0
1_2319	0	0	0	0	0	1	0	0	0	0	0	0
50_3812	0	0	0	0	0	1	0	0	0	0	0	0
75_29090	0	0	0	0	0	0	0	1	0	0	0	0
64_598	0	0	0	0	0	1	0	0	0	0	0	0
15_985	0	0	0	0	0	1	0	0	0	0	0	0
3_588268	0	0	0	0	0	0	0	1	0	0	0	0
74_103251	0	0	0	0	0	0	1	0	0	0	0	0
69_148947	0	0	0	0	0	1	0	0	0	0	0	0
73.2_99932	0	0	0	0	0	1	0	0	0	0	0	0
71_25781	0	0	0	0	0	0	0	1	0	0	0	0
66_41379	0	0	0	0	0	0	0	1	0	0	0	0
58_1106	0	0	0	0	0	1	0	0	0	0	0	0
37_20677	0	0	0	0	0	0	0	1	0	0	0	0
71.2_121490	0	0	0	0	0	0	0	1	0	0	0	0
80_13888	0	0	0	0	0	0	0	1	0	0	0	0
39_1781	0	0	0	0	0	1	0	0	0	0	0	0
69.2_12068	0	0	0	0	0	1	0	0	0	0	0	0
53_232697	0	0	0	0	0	1	0	0	0	0	0	0
55_2019	0	0	0	0	0	1	0	0	0	0	0	0
55_11072	0	0	0	0	0	1	0	0	0	0	0	0
64_6631	0	0	0	0	0	1	0	0	0	0	0	0
38_3860	0	0	0	0	0	1	0	0	0	0	0	0
73_44456	0	1	0	0	0	0	0	0	0	0	0	0
62_5505	0	0	0	0	0	1	0	0	0	0	0	0
69_14672	0	0	0	0	0	1	0	0	0	0	0	0
83_22352	0	0	0	0	0	0	0	1	0	0	0	0
19_15820	0	0	0	0	0	1	0	0	0	0	0	0
77_69104	0	0	0	0	0	1	0	0	0	0	0	0
52_29149	0	0	0	0	0	1	0	0	0	0	0	0
72.2_74792	0	0	0	0	0	1	0	0	0	0	0	0
71.2_14934	0	0	0	0	0	1	0	0	0	0	0	0
74.2_3363	0	0	0	0	0	1	0	0	0	0	0	0
74_4942	0	0	0	0	0	0	0	1	0	0	0	0
21_51127	0	0	0	0	0	0	1	0	0	0	0	0
59_3609	0	0	0	0	0	1	0	0	0	0	0	0
61_1522	0	0	0	0	0	1	0	0	0	0	0	0
67.2_5389	0	0	0	0	0	1	0	0	0	0	0	0
70_865	0	0	0	0	0	1	0	0	0	0	0	0
13_1814	0	0	0	0	0	1	0	0	0	0	0	0
89_2508	0	0	0	0	0	1	0	0	0	0	0	0
61_2682	0	0	0	0	0	1	0	0	0	0	0	0
74.2_519	0	0	0	0	0	0	1	0	0	0	0	0
39_20	0	0	0	0	0	1	0	0	0	0	0	0
55_8000	0	0	0	0	0	1	0	0	0	0	0	0
67.2_10132	0	0	0	0	0	1	0	0	0	0	0	0
75.2_25586	0	0	0	0	0	0	0	1	0	0	0	0
77.2_20040	0	0	0	0	0	1	0	0	0	0	0	0
4_31071	0	0	0	0	0	1	0	0	0	0	0	0
73_109152	0	0	0	0	0	1	0	0	0	0	0	0
3_236966	0	0	0	0	0	0	0	1	0	0	0	0
51_70882	0	0	0	0	0	0	1	0	0	0	0	0
50_14556	0	0	0	0	0	1	0	0	0	0	0	0
41_2876	0	0	0	0	0	1	0	0	0	0	0	0
