OTUId	2_12	2_9	2_6	2_3	Ferrihydrite	1_12	Heavy	1_9	Kaolinite	1_6	Quartz	1_3
OTU_215571;barcodelabel=2_12	8	0	5	0	2	6	0	0	0	3	0	0
OTU_113638;barcodelabel=2_12	8	0	0	0	2	0	0	0	0	0	0	0
OTU_234538;barcodelabel=2_12	8	0	0	0	4	0	0	0	0	0	0	0
OTU_178697;barcodelabel=2_12	8	0	0	0	4	0	0	0	0	0	0	0
OTU_181004;barcodelabel=2_12	16	0	0	0	1	0	0	0	0	0	0	1
OTU_223410;barcodelabel=2_12	8	0	0	0	4	0	0	0	0	0	0	0
OTU_32423;barcodelabel=2_12	8	0	0	0	3	0	0	0	0	0	0	0
OTU_236061;barcodelabel=2_12	20	0	0	0	3	0	0	0	0	0	0	0
OTU_82449;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_193015;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_278474;barcodelabel=2_12	8	0	0	0	0	2	0	0	0	0	0	0
OTU_245289;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_100823;barcodelabel=2_12	8	0	0	0	0	0	0	3	0	0	0	0
OTU_232683;barcodelabel=2_12	16	0	2	0	0	0	0	0	0	0	0	0
OTU_176345;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_289893;barcodelabel=2_12	16	0	0	0	2	2	0	0	0	0	0	0
OTU_33434;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_3425;barcodelabel=2_12	20	0	0	0	4	2	0	0	0	0	0	0
OTU_33023;barcodelabel=2_12	8	8	1	0	0	0	0	0	1	0	0	0
OTU_165524;barcodelabel=2_12	15	0	0	0	2	4	0	0	0	0	0	0
OTU_139712;barcodelabel=2_12	8	0	0	0	2	0	0	0	0	0	0	0
OTU_13989;barcodelabel=2_12	45	0	0	0	2	6	0	0	0	0	0	0
OTU_175932;barcodelabel=2_12	39	0	0	0	2	0	0	0	0	0	0	0
OTU_40438;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_168205;barcodelabel=2_12	8	0	0	0	2	0	0	0	0	0	0	0
OTU_299292;barcodelabel=1_12	8	0	0	0	0	4	0	0	0	0	0	0
OTU_212921;barcodelabel=2_12	8	0	0	0	0	0	0	2	0	0	0	0
OTU_5193;barcodelabel=2_12	15	0	0	0	0	0	0	0	0	0	0	0
80_18619;barcodelabel=Ferrihydrite	8	0	5	0	1	3	0	0	0	0	0	0
OTU_55175;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_263614;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_359232;barcodelabel=2_12	8	0	0	0	0	0	0	0	1	0	0	0
OTU_222814;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_91944;barcodelabel=2_12	11	0	0	0	2	0	0	0	0	0	0	0
OTU_44821;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_40843;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_9909;barcodelabel=2_12	8	0	0	0	0	9	0	0	1	2	0	0
OTU_48136;barcodelabel=2_12	15	0	0	0	0	0	0	0	0	0	0	0
OTU_14085;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_5976;barcodelabel=2_12	8	0	0	0	1	6	0	0	0	0	0	0
OTU_305042;barcodelabel=2_12	8	0	0	0	0	0	0	0	0	0	0	0
OTU_33914;barcodelabel=2_12	7	0	0	0	2	0	0	0	0	0	0	0
OTU_369165;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_33993;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_16795;barcodelabel=2_12	7	0	0	0	1	0	0	0	0	0	0	0
OTU_35020;barcodelabel=2_12	7	0	0	0	5	0	0	0	0	0	0	0
OTU_225182;barcodelabel=2_12	13	1	3	0	0	0	0	0	0	0	0	0
OTU_38802;barcodelabel=2_12	7	0	0	0	2	0	0	0	0	0	0	0
OTU_39473;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_55320;barcodelabel=2_12	7	0	0	0	2	0	0	0	0	0	0	0
OTU_54028;barcodelabel=2_9	6	7	0	0	3	0	0	0	0	2	0	0
OTU_258512;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_236599;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_88739;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
OTU_91526;barcodelabel=2_12	7	0	0	0	0	0	0	0	0	0	0	0
