Season,Week,OTU,Domain,Phylum,Class,Order,Family,Genus,rhizo_enriched,rhizo_depleted,pvals_adj.adj...1.,pvals_adj.adj...2.,P
2,12,OTU_7765,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Terriglobus,1,0,7.51E-11,1.10E-08,1
2,12,OTU_4672,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,4.59E-10,4.20E-08,1
2,12,OTU_70195,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,6.12E-10,4.98E-08,1
2,12,OTU_13997,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Terriglobus,1,0,1.77E-05,0.000234176,1
2,12,OTU_226052,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,0.000100094,0.000947443,1
2,12,OTU_18471,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Gp1,1,0,0.000173128,0.00141862,1
2,12,OTU_234618,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,0.000212525,0.00166087,1
2,12,OTU_90188,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,0.000334389,0.002309179,1
2,12,OTU_246352,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Gp1,1,0,0.000387905,0.002581333,1
2,12,OTU_134968,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Terriglobus,1,0,0.000421037,0.002743612,1
2,12,OTU_329346,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,0.003161165,0.012575939,1
2,12,OTU_82382,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Edaphobacter,1,0,0.004531663,0.016340774,1
2,12,OTU_68181,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Granulicella,1,0,0.010795001,0.03293114,1
2,12,OTU_62100,Bacteria,Acidobacteria,Acidobacteria_Gp16,Unclassified,Unclassified,Gp16,1,0,0.003157064,0.012575939,1
2,12,OTU_327300,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unclassified,Unclassified,Gp6,1,0,0.00191939,0.008672801,1
2,12,OTU_95858,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unclassified,Unclassified,Gp6,1,0,0.008399277,0.027005582,1
2,12,OTU_315438,Bacteria,Acidobacteria,Acidobacteria_Gp7,Unclassified,Unclassified,Gp7,1,0,0.001234804,0.006233631,1
2,12,OTU_287934,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1,0,1.96E-11,4.09E-09,1
2,12,OTU_1184,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,1.27E-10,1.47E-08,1
2,12,OTU_139712,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Unclassified,1,0,2.11E-08,1.01E-06,1
2,12,OTU_222787,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1,0,3.77E-08,1.64E-06,1
2,12,OTU_129149,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,3.80E-08,1.64E-06,1
2,12,OTU_10775,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,3.97E-07,1.15E-05,1
2,12,OTU_305042,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Catenulisporaceae,Catenulispora,1,0,3.99E-07,1.15E-05,1
2,12,OTU_91526,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Catenulisporaceae,Catenulispora,1,0,4.82E-07,1.32E-05,1
2,12,OTU_91944,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,7.86E-07,1.92E-05,1
2,12,OTU_208928,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Lentzea,1,0,1.78E-06,3.77E-05,1
2,12,OTU_223410,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,1.96E-06,4.01E-05,1
2,12,OTU_364762,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharothrix,1,0,2.82E-06,5.29E-05,1
2,12,OTU_98626,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,6.40E-06,0.000105594,1
2,12,OTU_62125,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,1,0,1.04E-05,0.000157936,1
2,12,OTU_20005,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Catenulisporaceae,Catenulispora,1,0,1.10E-05,0.000164594,1
2,12,OTU_56179,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,1.12E-05,0.00016575,1
2,12,OTU_47483,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Unclassified,Unclassified,1,0,1.46E-05,0.000208461,1
2,12,OTU_43804,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,9.91E-05,0.000943242,1
2,12,OTU_63653,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1,0,0.000108356,0.001004011,1
2,12,OTU_52270,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,1,0,0.000111411,0.001015182,1
2,12,OTU_2192,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.00012744,0.001146964,1
2,12,OTU_305520,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,1,0,0.000128634,0.001151499,1
2,12,OTU_139229,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,1,0,0.000128993,0.001151499,1
2,12,OTU_68220,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unclassified,Unclassified,1,0,0.000189777,0.001537825,1
2,12,OTU_169422,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.000200732,0.00160294,1
2,12,OTU_362976,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.000215752,0.001680115,1
2,12,OTU_124776,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,0.000218225,0.001693368,1
2,12,OTU_15559,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.000249693,0.001858731,1
2,12,OTU_25160,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.000361222,0.00244828,1
2,12,OTU_41499,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,1,0,0.000520851,0.003221941,1
2,12,OTU_2178,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,Unclassified,1,0,0.000549963,0.003368122,1
2,12,OTU_200430,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.00061034,0.003642138,1
2,12,OTU_6059,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,1,0,0.000699809,0.004012484,1
2,12,OTU_303940,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,1,0,0.000861278,0.004624367,1
2,12,OTU_36358,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.000886019,0.004732948,1
2,12,OTU_68845,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.000949948,0.004966869,1
2,12,OTU_351171,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,1,0,0.001025331,0.005285511,1
2,12,OTU_51743,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinosynnema,1,0,0.001439427,0.007055762,1
2,12,OTU_262218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.001495552,0.007282111,1
2,12,OTU_48794,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.001857031,0.008495917,1
2,12,OTU_48969,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces,1,0,0.001926849,0.008688624,1
2,12,OTU_245753,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter,1,0,0.001939133,0.008690481,1
2,12,OTU_12079,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.002092435,0.009221207,1
2,12,OTU_52570,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unclassified,Unclassified,1,0,0.002349424,0.009883785,1
2,12,OTU_2312,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.002360517,0.009911461,1
2,12,OTU_302670,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,1,0,0.002577708,0.010700657,1
2,12,OTU_211763,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Unclassified,1,0,0.002904709,0.011790649,1
2,12,OTU_81083,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unclassified,Unclassified,1,0,0.003064627,0.012303328,1
2,12,OTU_69096,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.003263152,0.01281911,1
2,12,OTU_118944,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,1,0,0.003415143,0.01322513,1
2,12,OTU_61333,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter,1,0,0.003432752,0.01322513,1
2,12,OTU_67932,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.003897279,0.014604822,1
2,12,OTU_46728,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora,1,0,0.004216441,0.015561857,1
2,12,OTU_212844,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unclassified,1,0,0.00435448,0.015858106,1
2,12,OTU_192049,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1,0,0.005118123,0.017925674,1
2,12,OTU_83360,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.00545469,0.018775076,1
2,12,OTU_46113,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Kutzneria,1,0,0.006597991,0.022222682,1
2,12,OTU_40879,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,1,0,0.009546624,0.029906401,1
2,12,OTU_34427,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,1,0,0.012850825,0.038047005,1
2,12,OTU_35595,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,Sporichthya,1,0,0.013663743,0.039742489,1
2,12,OTU_33420,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,0.013861748,0.040211888,1
