"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Ferrihydrite_2_15",798,0.847689733618865,0.906772932117936,0.0103482494526851,1,-5.70948726827803,0.0099009900990099,100
"Ferrihydrite_2_28",1278,0.860012464611037,0.906834351445399,0.00936306160737855,1,-5.00070263314985,0.0099009900990099,100
"Ferrihydrite_2_33",1059,0.845845978104678,0.906847997862948,0.00935555910326121,1,-6.52040343981209,0.0099009900990099,100
"Ferrihydrite_2_9",1553,0.866412266680386,0.907350401714839,0.0082541306345041,1,-4.95971494118621,0.0099009900990099,100
"Ferrihydrite_2.5_13",1162,0.861197673143664,0.906502276147484,0.0100652313867466,1,-4.5010990073686,0.0099009900990099,100
"Ferrihydrite_2.5_14",2241,0.880653976835915,0.906523595984892,0.00588896574289012,1,-4.3928968648204,0.0099009900990099,100
"Ferrihydrite_2.5_16",2701,0.885340350399715,0.907474852919166,0.00554101422811288,1,-3.994666248491,0.0099009900990099,100
"Ferrihydrite_2.5_27",1987,0.862894743303781,0.90654064796981,0.00707488091490749,1,-6.16913629939165,0.0099009900990099,100
"Ferrihydrite_2.5_3",3443,0.903194499915027,0.907001642658601,0.00408603109667395,20,-0.931745905378124,0.198019801980198,100
"Ferrihydrite_2.5_30",941,0.84770412530807,0.906806468207204,0.00978313100267532,1,-6.04125027897222,0.0099009900990099,100
"Ferrihydrite_2.5_31",2216,0.869095595211513,0.906783620574195,0.00568327931706511,1,-6.63138713761896,0.0099009900990099,100
"Ferrihydrite_2.5_42",2330,0.880066171356861,0.907190745758076,0.00647811649272926,1,-4.18710815584408,0.0099009900990099,100
"Ferrihydrite_2.5_49",2145,0.865226743650628,0.906893402953067,0.00648145676094161,1,-6.42859481120499,0.0099009900990099,100
"Ferrihydrite_3_12",2431,0.882756492066636,0.906867448872299,0.00633648456839804,1,-3.80509990127841,0.0099009900990099,100
"Ferrihydrite_3_20",1844,0.860879547228594,0.907033080951493,0.00724074462737554,1,-6.37414190087614,0.0099009900990099,100
"Ferrihydrite_3_22",1570,0.871485790900935,0.906865613675715,0.00807164001121802,1,-4.38322605141078,0.0099009900990099,100
"Ferrihydrite_3_23",1864,0.86062450439321,0.907214078564616,0.0078801182268852,1,-5.91229380448295,0.0099009900990099,100
