"F_2.5_13","F_2.5_14","F_2.5_16","F_2.5_27","F_2.5_3","F_2.5_30","F_2.5_31","F_2.5_42","F_2.5_49","Q_2.5_13","Q_2.5_14","Q_2.5_16","Q_2.5_27","Q_2.5_3","Q_2.5_30","Q_2.5_31","Q_2.5_42","Q_2.5_49"
"1",5.53401038140375,7.19464379748739,13.5511321748289,8.8723087339201,14.1764537726623,11.4955540510043,15.2260287369292,10.498909200331,8.72248551869405,8.57260212141728,12.8039720153464,12.5449484691191,12.1025803054239,9.06422929361318,9.32511848341232,16.088467614534,14.9184683668096,10.9782592341834
"2",4.93892434364121,6.09070422321926,11.7553699831153,7.97669834117794,11.5414261274804,9.91374278884616,12.7507749454928,9.07895649906677,7.78283516449542,7.70309047116361,10.9543824766036,10.9063051380932,10.247358054866,8.05504213754499,8.25851096582418,13.2685317034584,12.4117963987966,9.58817928414387
"3",4.39541722561254,5.16360182943853,10.148341957808,7.16812308656487,9.35302154242212,8.55537857542035,10.6421768872423,7.87014540127005,6.92637342573073,6.93017909024827,9.37426718061247,9.4339500002328,8.66700832905562,7.18140152239787,7.31641043713662,10.9029374213834,10.3264003716171,8.36636001086765
"4",3.90890680157772,4.40379998529634,8.73651874914979,6.44709022306133,7.58144990110439,7.40454254097562,8.88590659574658,6.85869589824596,6.15728219757361,6.24700722946078,8.04573092921636,8.13628288077715,7.34787600745705,6.43036643907332,6.49764706545885,8.96981435525356,8.6278185628932,7.30936493112064
"5",3.48203474907552,3.79426095145444,7.51950135707016,5.81162952978471,6.18180602536349,6.44158246926938,7.45465087733728,6.02439668205677,5.47702519156035,5.6464710012445,6.94406903918561,7.01529453566553,6.26651525244038,5.78794580727583,5.79641380942824,7.42836949056916,7.26873322884155,6.40806833460733
"6",3.11443046408125,3.31323207519014,6.4895588321577,5.25748327993245,5.09877022219169,5.64430061788596,6.3104726807195,5.34331403189794,4.88405964243075,5.12135188138881,6.04037649822365,6.06572786095921,5.39281121457549,5.2400830001702,5.20312063139157,6.22414309951789,6.19535177037095,5.64884318816944
"7",2.80299009441588,2.93754142085706,5.63233086825922,4.77855098199786,4.27338045350116,4.9894788242004,5.40935250698492,4.79060138854335,4.37397837006586,4.66441389307025,5.30442829367295,5.27553010816922,4.69385424809242,4.77341553276796,4.70570318462897,5.29689562096901,5.35388625848148,5.01522968947619
"8",2.54256741841169,2.64534114996516,4.92860592671252,4.36749513122034,3.64964093061457,4.45440508208761,4.70640861302937,4.34275547166057,3.94005793984994,4.26850077742495,4.70718068165647,4.6275287463867,4.13748759807141,4.37576529265909,4.29103851740656,4.58830698938148,4.69545004232523,4.48968836229383
"9",2.32684969217607,2.41774768404334,4.35668396046944,4.01638510502174,3.17905877125288,4.01809955215159,4.16020095806781,3.97901267658813,3.57406563438452,3.92664731299308,4.22248862939807,4.10179650039088,3.6947855256397,4.03638035154116,3.94616126635556,4.04726906065205,4.17867809512066,4.05508762259625
"10",2.14918258455062,2.23941239138031,3.89467804890097,3.71726973565255,2.82250615877782,3.66208043691713,3.73525843402382,3.68192422394899,3.26712226527009,3.63220059221486,3.82796167523658,3.67799376189634,3.3412758284649,3.74598593796802,3.65911281249568,3.63215829164105,3.77033877621884,3.69573252883555
